Optimal path found:
Node id: 30298842  | Distance: 2733.267500  | Name: Avinguda del Paral·lel
Node id: 899314386  | Distance: 2889.849707  | Name: Avinguda del Paral·lel
Node id: 899314388  | Distance: 2920.751919  | Name: Avinguda del Paral·lel
Node id: 771231969  | Distance: 3060.462492  | Name: Avinguda del Paral·lel
Node id: 26057048  | Distance: 3094.133913  | Name: Avinguda del Paral·lel
Node id: 803435598  | Distance: 3109.763540  | Name: Plaça d&apos;Espanya
Node id: 1193548822  | Distance: 3117.442751  | Name: Plaça d&apos;Espanya
Node id: 71710025  | Distance: 3125.287128  | Name: Plaça d&apos;Espanya
Node id: 1193548807  | Distance: 3133.075935  | Name: Plaça d&apos;Espanya
Node id: 26057052  | Distance: 3139.795499  | Name: Plaça d&apos;Espanya
Node id: 534633415  | Distance: 3145.124187  | Name: Plaça d&apos;Espanya
Node id: 26057049  | Distance: 3152.065080  | Name: Plaça d&apos;Espanya
Node id: 803435595  | Distance: 3164.117409  | Name: Plaça d&apos;Espanya
Node id: 26057053  | Distance: 3175.786669  | Name: Plaça d&apos;Espanya
Node id: 168319807  | Distance: 3185.459739  | Name: Gran Via de les Corts Catalanes
Node id: 1193548729  | Distance: 3204.251004  | Name: Plaça d&apos;Espanya
Node id: 26057050  | Distance: 3220.713919  | Name: Gran Via de les Corts Catalanes
Node id: 771231898  | Distance: 3241.235313  | Name: Gran Via de les Corts Catalanes
Node id: 760332218  | Distance: 3308.740586  | Name: Gran Via de les Corts Catalanes
Node id: 178518958  | Distance: 3324.385256  | Name: Carretera de la Bordeta
Node id: 760332200  | Distance: 3504.128822  | Name: Gran Via de les Corts Catalanes
Node id: 760332216  | Distance: 3518.885363  | Name: Gran Via de les Corts Catalanes
Node id: 760332225  | Distance: 3676.337611  | Name: Gran Via de les Corts Catalanes
Node id: 760332206  | Distance: 3694.588302  | Name: Gran Via de les Corts Catalanes
Node id: 760332209  | Distance: 3779.453614  | Name: Gran Via de les Corts Catalanes
Node id: 760332213  | Distance: 3797.602133  | Name: Gran Via de les Corts Catalanes
Node id: 760332211  | Distance: 3891.717743  | Name: Gran Via de les Corts Catalanes
Node id: 760332217  | Distance: 3940.919488  | Name: Gran Via de les Corts Catalanes
Node id: 760332202  | Distance: 3968.671803  | Name: Gran Via de les Corts Catalanes
Node id: 760332222  | Distance: 4015.728687  | Name: Gran Via de les Corts Catalanes
Node id: 760332215  | Distance: 4130.311808  | Name: Gran Via de les Corts Catalanes
Node id: 760332203  | Distance: 4194.377472  | Name: Gran Via de les Corts Catalanes
Node id: 760332148  | Distance: 4296.389033  | Name: Gran Via de les Corts Catalanes
Node id: 1121909773  | Distance: 4323.758017  | Name: Gran Via de les Corts Catalanes
Node id: 30307945  | Distance: 4334.951700  | Name: Gran Via de les Corts Catalanes
